;IC50, mM;CC50, mM;SI;MaxAbsEStateIndex;MaxEStateIndex;MinAbsEStateIndex;MinEStateIndex;qed;SPS;MolWt;HeavyAtomMolWt;ExactMolWt;NumValenceElectrons;NumRadicalElectrons;MaxPartialCharge;MinPartialCharge;MaxAbsPartialCharge;MinAbsPartialCharge;FpDensityMorgan1;FpDensityMorgan2;FpDensityMorgan3;BCUT2D_MWHI;BCUT2D_MWLOW;BCUT2D_CHGHI;BCUT2D_CHGLO;BCUT2D_LOGPHI;BCUT2D_LOGPLOW;BCUT2D_MRHI;BCUT2D_MRLOW;AvgIpc;BalabanJ;BertzCT;Chi0;Chi0n;Chi0v;Chi1;Chi1n;Chi1v;Chi2n;Chi2v;Chi3n;Chi3v;Chi4n;Chi4v;HallKierAlpha;Ipc;Kappa1;Kappa2;Kappa3;LabuteASA;PEOE_VSA1;PEOE_VSA10;PEOE_VSA11;PEOE_VSA12;PEOE_VSA13;PEOE_VSA14;PEOE_VSA2;PEOE_VSA3;PEOE_VSA4;PEOE_VSA5;PEOE_VSA6;PEOE_VSA7;PEOE_VSA8;PEOE_VSA9;SMR_VSA1;SMR_VSA10;SMR_VSA2;SMR_VSA3;SMR_VSA4;SMR_VSA5;SMR_VSA6;SMR_VSA7;SMR_VSA8;SMR_VSA9;SlogP_VSA1;SlogP_VSA10;SlogP_VSA11;SlogP_VSA12;SlogP_VSA2;SlogP_VSA3;SlogP_VSA4;SlogP_VSA5;SlogP_VSA6;SlogP_VSA7;SlogP_VSA8;SlogP_VSA9;TPSA;EState_VSA1;EState_VSA10;EState_VSA11;EState_VSA2;EState_VSA3;EState_VSA4;EState_VSA5;EState_VSA6;EState_VSA7;EState_VSA8;EState_VSA9;VSA_EState1;VSA_EState10;VSA_EState2;VSA_EState3;VSA_EState4;VSA_EState5;VSA_EState6;VSA_EState7;VSA_EState8;VSA_EState9;FractionCSP3;HeavyAtomCount;NHOHCount;NOCount;NumAliphaticCarbocycles;NumAliphaticHeterocycles;NumAliphaticRings;NumAromaticCarbocycles;NumAromaticHeterocycles;NumAromaticRings;NumHAcceptors;NumHDonors;NumHeteroatoms;NumRotatableBonds;NumSaturatedCarbocycles;NumSaturatedHeterocycles;NumSaturatedRings;RingCount;MolLogP;MolMR;fr_Al_COO;fr_Al_OH;fr_Al_OH_noTert;fr_ArN;fr_Ar_COO;fr_Ar_N;fr_Ar_NH;fr_Ar_OH;fr_COO;fr_COO2;fr_C_O;fr_C_O_noCOO;fr_C_S;fr_HOCCN;fr_Imine;fr_NH0;fr_NH1;fr_NH2;fr_N_O;fr_Ndealkylation1;fr_Ndealkylation2;fr_Nhpyrrole;fr_SH;fr_aldehyde;fr_alkyl_carbamate;fr_alkyl_halide;fr_allylic_oxid;fr_amide;fr_amidine;fr_aniline;fr_aryl_methyl;fr_azide;fr_azo;fr_barbitur;fr_benzene;fr_benzodiazepine;fr_bicyclic;fr_diazo;fr_dihydropyridine;fr_epoxide;fr_ester;fr_ether;fr_furan;fr_guanido;fr_halogen;fr_hdrzine;fr_hdrzone;fr_imidazole;fr_imide;fr_isocyan;fr_isothiocyan;fr_ketone;fr_ketone_Topliss;fr_lactam;fr_lactone;fr_methoxy;fr_morpholine;fr_nitrile;fr_nitro;fr_nitro_arom;fr_nitro_arom_nonortho;fr_nitroso;fr_oxazole;fr_oxime;fr_para_hydroxylation;fr_phenol;fr_phenol_noOrthoHbond;fr_phos_acid;fr_phos_ester;fr_piperdine;fr_piperzine;fr_priamide;fr_prisulfonamd;fr_pyridine;fr_quatN;fr_sulfide;fr_sulfonamd;fr_sulfone;fr_term_acetylene;fr_tetrazole;fr_thiazole;fr_thiocyan;fr_thiophene;fr_unbrch_alkane;fr_urea
0;6,239373567;175,4823816;28,125;5,094096222;5,094096222;0,387224787;0,387224787;0,417361873;42,92857143;384,652;340,3;384,3504494;158;0;0,038843654;-0,293525515;0,293525515;0,038843654;0,642857143;1,035714286;1,321428571;14,82226605;9,700469636;2,600532088;-2,343082085;2,644697757;-2,322229234;5,944518573;0,193480759;3,150502892;1,164037576;611,9203006;20,20889601;19,5344091;19,5344091;13,12779364;12,20422612;12,20422612;12,05807752;12,05807752;10,69599066;10,69599066;7,340246526;7,340246526;-0,66;2187750,165;20,60624687;6,94753433;2,868737097;173,6301242;0;0;0;0;0;0;9,984809465;0;0;0;54,38406644;74,03236601;35,34286376;0;0;11,42337001;0;0;43,48058344;105,7506394;13,08951281;0;0;0;0;0;0;0;24,51288282;0;33,49577397;105,7506394;9,984809465;0;0;0;24,72;0;0;0;0;21,65996188;24,9253249;64,20821623;11,42337001;0;41,5424232;9,984809465;0;0;10,18819244;0;4,807589193;1,764908478;0;13,25822337;16,98108652;0;0,923076923;28;0;2;4;0;4;0;0;0;2;0;2;7;4;0;4;4;7,1212;121,53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
1;0,771831247;5,402818728;7;3,961416713;3,961416713;0,533868497;0,533868497;0,462472807;45,21428571;388,684;340,3;388,3817495;162;0;0,01288657;-0,313407213;0,313407213;0,01288657;0,607142857;1;1,285714286;14,97511001;9,689226059;2,61406647;-2,394689648;2,65834229;-2,444816776;5,13452694;0,120322298;3,150502892;1,080362063;516,7801241;20,20889601;19,79468245;19,79468245;13,12779364;12,59575411;12,59575411;12,64854475;12,64854475;11,47309048;11,47309048;8,180905034;8,180905034;-0,08;2187750,165;21,16345429;7,257647929;3,027176569;174,9392036;10,63357721;0;0;0;0;0;0;0;0;0;54,38406644;97,95185977;12,08368166;0;0;0;0;10,63357721;33,49577397;117,8343211;13,08951281;0;0;0;10,63357721;0;0;0;25,17319447;0;33,49577397;105,7506394;0;0;0;0;24,06;0;0;0;0;21,65996188;23,91949375;77,29772904;0;0;52,17600041;0;0;0;0;7,922833425;2,153503044;1,914376644;1,536673842;14,13538102;17,67056536;0;1;28;2;2;4;0;4;0;0;0;2;2;2;9;4;0;4;4;6,1556;120,5074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
2;223,8087778;161,14232;0,72;2,627117384;2,627117384;0,543230821;0,543230821;0,26092278;42,1875;446,808;388,344;446,4589027;186;0;0,094801548;-0,325573321;0,325573321;0,094801548;0,5625;0,90625;1,15625;15,3539376;9,68129265;2,665273776;-2,477202658;2,6790144;-2,565224042;5,117187344;-0,92290157;3,214947253;1,21906603;643,6201536;23,79468245;23,68910964;23,68910964;14,59575411;14,24900476;14,24900476;15,67121607;15,67121607;13,40223604;13,40223604;10,14030341;10,14030341;-0,08;8610750,76;25,02611196;7,709372924;3,470069679;201,238858;8,966061715;0;0;0;0;0;0;0;0;0;41,5424232;74,03236601;23,67162418;53,3638824;8,966061715;0;0;0;33,49577397;117,8343211;41,28020074;0;0;0;0;0;0;0;62,32994412;0;33,49577397;105,7506394;0;0;0;0;0;0;0;0;0;21,65996188;23,91949375;86,26379076;0;0;69,73311113;0;2,517629791;0;0;0;2,18412747;1,930720385;1,738402237;14,49161927;18,28721616;10,18361802;1;32;0;2;4;0;4;0;0;0;0;0;2;9;4;0;4;4;7,1292;138,4528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0
3;1,705624296;107,855654;63,23529412;5,097360049;5,097360049;0,390602645;0,390602645;0,377845506;41,86206897;398,679;352,311;398,3660995;164;0;0,038843645;-0,293525515;0,293525515;0,038843645;0,620689655;1;1,310344828;14,82121597;9,70049716;2,600528654;-2,342884614;2,644708711;-2,322030494;5,944501631;0,193510209;3,179269853;1,12051291;626,6513661;20,91600279;20,24151588;20,24151588;13,62779364;12,70422612;12,70422612;12,41163091;12,41163091;10,94599066;10,94599066;7,517023221;7,517023221;-0,66;3572141,767;21,56745408;7,485203794;3,263847962;179,9950664;0;0;0;0;0;0;9,984809465;0;0;0;60,80488807;74,03236601;35,34286376;0;0;11,42337001;0;0;43,48058344;112,1714611;13,08951281;0;0;0;0;0;0;0;24,51288282;0;33,49577397;112,1714611;9,984809465;0;0;0;24,72;0;0;0;0;21,65996188;24,9253249;70,62903785;11,42337001;0;41,5424232;9,984809465;0;0;10,1947201;0;4,827851814;1,769975405;0;14,69543927;17,01201341;0;0,925925926;29;0;2;4;0;4;0;0;0;2;0;2;8;4;0;4;4;7,5113;126,147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
4;107,1315318;139,2709914;1,3;5,150509901;5,150509901;0,270476052;0,270476052;0,429038455;36,51428571;466,713;424,377;466,3347993;184;0;0,062897459;-0,257239302;0,257239302;0,062897459;0,6;0,971428571;1,257142857;14,83111153;9,700385536;2,602485716;-2,342009125;2,648473252;-2,318892629;5,963447711;0,193686507;3,337073624;1,136678064;1101,164252;24,63961743;22,61767735;22,61767735;16,52677313;13,86882538;13,86882538;13,61370045;13,61370045;11,83348049;11,83348049;8,119075848;8,119075848;-2,22;105375761,6;23,19491727;7,63921092;3,34585544;211,9196021;0;0;0;0;0;0;9,984809465;0;0;0;65,80789147;103,0039156;22,25335094;11,37477255;0;22,79814255;0;0;43,48058344;86,48817456;0;59,65783953;0;0;0;11,37477255;0;0;11,42337001;6,420821623;33,49577397;91,19425592;58,51574601;0;0;0;24,72;0;0;0;10,82998094;10,82998094;29,63140626;61,07520273;0;0;90,07335975;9,984809465;0;0;10,3010198;0;9,071782624;1,605177805;17,86905772;8,627310799;14,69231791;0;0,575757576;35;0;2;4;0;4;2;0;2;2;0;2;4;4;0;4;6;9,1148;148,338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;15,03791057;30,07582115;2;5,758408035;5,758408035;0,278082988;0,278082988;0,711012172;28,6;332,491;304,267;332,2252489;130;0;0,062897459;-0,39872856;0,39872856;0,062897459;0,96;1,56;2,08;14,82086039;9,7004044;2,592294942;-2,341882516;2,637658457;-2,318856812;5,956004044;0,193701312;2,920513098;1,52351605;798,9913641;17,65648977;15,54914341;15,54914341;11,88197829;9,398008418;9,398008418;8,636820198;8,636820198;7,100583586;7,100583586;4,81287756;4,81287756;-2,09;628774,7879;16,38230542;5,723892704;2,681684775;150,7264115;5,733667477;0;0;0;0;0;4,992404733;0;0;0;45,03667987;72,40855426;16,81406175;5,687386275;0;17,08645755;0;0;21,74029172;46,45449809;5,733667477;59,65783953;0;0;5,733667477;11,37477255;0;0;5,711685003;6,420821623;16,74788698;51,16057945;53,52334128;0;0;0;38,38;0;0;0;5,414990469;5,414990469;23,71350022;36,10105285;0;12,13273414;57,16941401;10,72607221;0;0;5,06801278;0;12,35843304;0,806518649;16,87564974;4,766280046;7,291772414;0;0,434782609;25;2;2;2;0;2;2;0;2;2;1;2;3;2;0;2;4;5,7783;106,4264;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;18,90816682;14,55928845;0,77;2,584471926;2,584471926;0,429649411;0,429649411;0,328539423;36,56410256;528,869;472,421;528,4432526;212;0;0,132159896;-0,293072574;0,293072574;0,132159896;0,564102564;0,897435897;1,153846154;15,36101173;9,680919227;2,670743013;-2,469845058;2,682798254;-2,570517087;5,484711748;0,073596635;3,412805476;1,15640578;1135,685264;28,22540387;26,77237789;26,77237789;18,04848051;15,91360401;15,91360401;16,84202662;16,84202662;14,66614961;14,66614961;10,86636094;10,86636094;-1,64;459191994;27,52597517;8,447529983;3,655882189;239,5283359;0;11,37477255;0;0;0;0;8,966061715;0;0;0;65,80789147;90,1622724;23,67162418;40,27436959;0;11,37477255;0;8,966061715;33,49577397;98,57185622;28,19068793;59,65783953;0;0;8,966061715;11,37477255;0;0;40,27436959;6,420821623;33,49577397;91,19425592;48,53093655;0;0;0;0;0;0;0;0;33,74364354;27,22269543;61,02660527;0;0;118,2640477;0;2,020151198;0;0;0;7,53482718;1,766502446;20,65063998;9,374572388;15,32736941;9,825937407;0,675675676;39;0;2;4;0;4;2;0;2;0;0;2;6;4;0;4;6;8,8408;169,008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
7;28,77308681;23,59393118;0,82;13,82187958;13,82187958;0,079844976;-0,301259541;0,217332232;31,33333333;695,089;624,529;694,5437295;280;0;0,225750274;-0,355623118;0,355623118;0,225750274;0,607843137;1;1,392156863;16,15288237;9,492175854;2,558257201;-2,542701297;2,585932629;-2,549777983;5,834761925;-0,139100782;3,095616829;0,924547737;1460,333757;36,60587276;33,61081455;33,61081455;24,23652565;21,07069162;21,07069162;18,98163509;18,98163509;15,05013502;15,05013502;11,87261529;11,87261529;-2,62;1,42015E+11;38,11525572;15,01803008;7,081672348;310,6609153;10,63357721;0;0;11,81435946;0;0;9,589074368;0;0;0;123,8922081;132,0905303;13,08951281;10,82998094;9,589074368;11,81435946;0;10,63357721;22,66579303;174,368015;13,08951281;69,77891136;0;0;10,63357721;0;0;0;24,90387227;33,26069855;22,66579303;184,0770997;36,39820241;0;0;0;58,2;0;9,589074368;0;33,47432134;23,67162418;96,56019391;46,2223522;0;0;102,4216772;0;0;0;27,64375915;6,784550243;8,473058;2,427543795;14,36361005;16,4150148;20,05913062;0;0,70212766;51;2;4;4;0;4;2;0;2;2;2;4;12;2;0;2;6;10,8371;212,4084;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
8;50,05706768;153,709268;3,070680628;14,17161448;14,17161448;0,019123102;-0,411827631;0,187781377;29,15789474;763,123;696,595;762,5124294;300;0;0,230123369;-0,325613434;0,325613434;0,230123369;0,561403509;0,947368421;1,315789474;16,15299701;9,492103495;2,560237194;-2,542448017;2,589584016;-2,534166359;5,961178414;-0,133397869;3,184153271;0,893802952;1995,575714;40,3294874;35,98697602;35,98697602;27,13550514;22,21342603;22,21342603;20,1809383;20,1809383;15,95732442;15,95732442;12,47991601;12,47991601;-4,18;4,0955E+12;39,63696533;14,88561657;6,972321471;342,585451;10,63357721;0;0;11,81435946;0;0;9,589074368;0;0;0;128,8952115;161,0620799;11,37477255;10,82998094;9,589074368;23,18913201;0;0;22,66579303;148,6847285;10,63357721;129,4367509;0;0;10,63357721;11,37477255;0;0;11,81435946;39,68152018;22,66579303;163,0998946;84,92913896;0;0;0;58,2;10,82998094;9,589074368;0;22,6443404;23,67162418;82,0038104;44,50761193;0;0;150,9526138;0;0;0;28,34322897;6,697445185;12,08548694;1,999976125;31,0408069;11,2888642;18,37752501;0;0,509433962;57;2;4;4;0;4;4;0;4;2;2;4;8;2;0;2;8;12,8222;236,2534;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;6,400846619;400,9063599;62,63333333;6,135893461;6,135893461;0,239226052;0,239226052;0,439915424;36,4;468,685;428,365;468,3140639;184;0;0,127083031;-0,457379178;0,457379178;0,127083031;0,6;0,971428571;1,257142857;16,48055297;9,700415949;2,602517443;-2,341981426;2,648782283;-2,318862773;5,963633588;0,193686541;3,337073624;1,136678064;1107,629257;24,63961743;22,31881886;22,31881886;16,52677313;13,56996688;13,56996688;13,19389377;13,19389377;11,46169546;11,46169546;7,820217357;7,820217357;-2,42;105375761,6;23,00709468;7,540774785;3,294634081;210,6682052;4,736862954;11,49902367;0;0;0;0;9,984809465;0;0;0;41,5424232;109,7216593;22,25335094;11,37477255;4,736862954;22,79814255;0;0;43,48058344;80,06735294;0;48,53093655;0;11,49902367;4,736862954;11,37477255;11,49902367;0;11,42337001;0;33,49577397;80,06735294;58,51574601;0;0;0;33,95;0;0;0;10,82998094;10,82998094;47,55125155;37,1066565;0;24,26546827;65,80789147;14,72167242;6,135893461;0;10,18990869;0;6,033338664;3,240723679;16,48016883;7,523698139;14,5629352;0;0,5625;35;0;3;4;0;4;2;0;2;3;0;3;4;4;0;4;6;9,3163;145,606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;4,185789246;32,88834407;7,857142857;5,856557842;5,856557842;0,246832988;0,246832988;0,701836834;28,44;334,463;308,255;334,2045135;130;0;0,127083031;-0,457379205;0,457379205;0,127083031;0,96;1,56;2,08;16,48053625;9,700419605;2,592316096;-2,341842674;2,637835332;-2,318834796;5,956147753;0,193701059;2,920513098;1,52351605;804,9257935;17,65648977;15,25028492;15,25028492;11,88197829;9,099149927;9,099149927;8,217013515;8,217013515;6,728798562;6,728798562;4,514019069;4,514019069;-2,29;628774,7879;16,19319806;5,618466768;2,622489617;149,4750146;10,47053043;11,49902367;0;0;0;0;4,992404733;0;0;0;20,7712116;79,12629793;16,81406175;5,687386275;4,736862954;17,08645755;0;0;21,74029172;40,03367647;5,733667477;48,53093655;0;11,49902367;10,47053043;11,37477255;11,49902367;0;5,711685003;0;16,74788698;40,03367647;53,52334128;0;0;0;47,61;0;0;0;5,414990469;5,414990469;35,21252389;18,55332825;0;48,53093655;20,7712116;15,46293516;5,856557842;0;5,012457224;0;9,445348628;2,382598465;15,48676085;3,755862605;7,227081056;0;0,409090909;25;2;3;2;0;2;2;0;2;3;1;3;3;2;0;2;4;5,9798;103,6944;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;43,5224582;72,43597938;1,664335664;2,589341564;2,589341564;0,380221088;0,380221088;0,640282908;33,25;328,564;290,26;328,2998766;134;0;0,083734438;-0,330454037;0,330454037;0,083734438;1,125;1,833333333;2,458333333;15,28234255;9,493121969;2,529044342;-2,56038067;2,572702581;-2,552272627;5,416434189;-0,877819419;2,438290334;2,002456526;608,9517674;17,75071238;17,07660563;17,07660563;11,05109591;9,989090219;9,989090219;10,53603447;10,53603447;7,003511636;7,003511636;6,275873876;6,275873876;-0,82;149913,4046;17,98560552;5,867333426;3,04980178;149,5935619;4,483030858;0;0;0;0;0;0;0;0;0;52,31487163;59,62444353;5,414990469;27,68777235;4,483030858;0;0;0;11,33289652;71,13195343;27,68777235;34,88945568;0;0;0;0;0;0;32,17080321;11,83581209;11,33289652;75,98649581;18,19910121;0;0;0;0;0;0;0;0;16,74788698;10,4009369;44,21231601;11,12690298;0;67,03706595;0;1,085540074;0;0;0;5,690681361;1,462168361;7,421275038;6,819360933;11,09572932;7,091911579;0,739130435;24;0;1;2;0;2;1;0;1;0;0;1;3;1;0;1;3;5,5265;104,5514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
12;208,3685903;634,6251481;3,045685279;6,177276681;6,177276681;0,382774201;0,382774201;0,440788767;38;472,717;428,365;472,345364;188;0;0,127079958;-0,457379229;0,457379229;0,127079958;0,6;0,971428571;1,257142857;16,48055775;9,689090393;2,617957681;-2,395598109;2,665038176;-2,395601409;5,510373184;0,142158468;3,337073624;1,065014883;1000,051232;24,63961743;22,57909221;22,57909221;16,52677313;13,93963003;13,93963003;13,76557489;13,76557489;12,21419253;12,21419253;8,620851263;8,620851263;-2,16;105375761,6;23,25128776;7,668835907;3,361297454;211,9772846;15,37044016;11,49902367;0;0;0;0;0;0;0;0;41,5424232;120,5516403;23,45845421;0;4,736862954;11,37477255;0;0;33,49577397;92,15103459;10,63357721;48,53093655;0;11,49902367;15,37044016;11,37477255;11,49902367;0;12,08368166;0;33,49577397;80,06735294;48,53093655;0;0;0;33,29;0;0;0;0;33,74364354;23,33483576;49,89970229;0;0;100,706937;4,736862954;6,177276681;0;0;7,715112984;4,031772833;3,474706106;18,17197777;8,044148793;14,88500483;0;0,625;35;2;3;4;0;4;2;0;2;3;2;3;6;4;0;4;6;8,7323;146,2374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;1,128846545;5,769660117;5,111111111;13,40089944;13,40089944;0,117366347;-0,259257252;0,6776978;28,89655172;398,635;356,299;398,329714;162;0;0,225795263;-0,354335843;0,354335843;0,225795263;1,206896552;1,931034483;2,586206897;16,15072689;9,492302048;2,543244777;-2,54282838;2,569898148;-2,554090745;5,828140463;-0,138559935;2,701059927;1,802235408;723,4185536;21,23384004;19,60617426;19,60617426;13,75722126;11,89824267;11,89824267;10,13381679;10,13381679;8,170749173;8,170749173;6,2116044;6,2116044;-1,35;2502164,678;22,33778811;8,794861928;4,125617019;178,1898011;10,21669833;0;0;5,907179729;0;0;4,794537184;0;0;0;66,16234603;72,71395634;13,08951281;5,414990469;4,794537184;5,907179729;0;10,21669833;11,33289652;84,97942783;26,17902562;34,88945568;0;0;5,316788604;0;0;0;36,98611508;16,63034928;11,33289652;89,83397021;18,19910121;0;0;0;32,34;0;4,794537184;0;16,73716067;11,83581209;51,86231212;23,1111761;0;0;69,95822274;0;0;0;15,77268987;3,30967545;4,34391873;1,27451036;7,158378078;5,596823094;17,37733775;0;0,730769231;29;1;3;2;0;2;1;0;1;2;1;3;7;1;0;1;3;5,2783;122,4497;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;10,63644627;79,04813475;7,431818182;13,51682914;13,51682914;0,115919588;-0,260674485;0,593975519;28,73333333;413,67;368,31;413,3526405;168;0;0,225956936;-0,349962833;0,349962833;0,225956936;1,2;1,9;2,533333333;16,15074841;9,492297887;2,543999051;-2,542910845;2,570015262;-2,562770618;5,828019294;-0,904450592;2,724713607;1,801665453;766,1266129;22,15648977;20,60617426;20,60617426;14,09313656;12,34545627;12,34545627;11,08250009;11,08250009;9,026811503;9,026811503;6,323407798;6,323407798;-1,35;3484058,592;23,31599427;8,648957288;4,068201835;184,7647147;9,799819462;0;0;5,907179729;0;0;4,794537184;0;0;0;52,31487163;73,47191793;0;38,64168808;9,277568042;5,907179729;0;5,316788604;11,33289652;84,97942783;33,22669761;34,88945568;0;0;5,316788604;0;0;0;43,61690819;16,63034928;11,33289652;89,83397021;18,19910121;0;0;0;29,1;0;4,794537184;0;10,82998094;17,74299182;56,34534297;23,1111761;0;0;72,10598499;0;1,017557581;0;13,51682914;3,36092545;4,347639258;1,284595735;7,171642541;5,604839676;17,74256671;2,286737238;0,740740741;30;1;3;2;0;2;1;0;1;1;1;3;7;1;0;1;3;5,4229;126,7951;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
15;110,1406153;110,1406153;1;2,741288644;2,741288644;0,541350706;0,541350706;0,379590593;43,4;416,738;364,322;416,4130497;174;0;0,015399807;-0,302845354;0,302845354;0,015399807;0,6;0,966666667;1,233333333;15,16048911;9,685882295;2,625182034;-2,432559724;2,670045717;-2,454692883;5,137752932;0,055229791;3,208016529;1,149013844;570,1286303;21,94938299;21,68910964;21,68910964;13,94916085;13,35457756;13,35457756;13,62793557;13,62793557;12,33167519;12,33167519;9,043384614;9,043384614;-0,08;4892138,59;23,09077521;7,754063433;3,248563586;188,0890308;9,799819462;0;0;0;0;0;0;0;0;0;54,38406644;112,0472037;12,08368166;0;0;0;0;9,799819462;33,49577397;117,8343211;27,18485678;0;0;0;0;0;0;0;49,0683579;0;33,49577397;105,7506394;0;0;0;0;6,48;0;0;0;0;21,65996188;23,91949375;77,29772904;0;0;65,43758663;0;0;0;5,482577287;0;2,168815257;1,922548514;1,637538039;14,31350014;17,97889076;4,829463332;1;30;0;2;4;0;4;0;0;0;2;0;2;9;4;0;4;4;6,84;129,762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
